plots,cols,block,trt,replication
101,1,1,19,1
102,2,1,20,1
103,3,1,14,1
104,1,2,18,1
105,2,2,29,1
106,3,2,17,1
107,1,3,5,1
108,2,3,13,1
109,3,3,25,1
110,1,4,3,1
111,2,4,4,1
112,3,4,30,1
113,1,5,26,1
114,2,5,28,1
115,3,5,11,1
116,1,6,8,1
117,2,6,15,1
118,3,6,2,1
119,1,7,1,1
120,2,7,9,1
121,3,7,21,1
122,1,8,22,1
123,2,8,12,1
124,3,8,6,1
125,1,9,7,1
126,2,9,24,1
127,3,9,10,1
128,1,10,23,1
129,2,10,16,1
130,3,10,27,1
201,1,11,10,2
202,2,11,30,2
203,3,11,11,2
204,1,12,6,2
205,2,12,20,2
206,3,12,5,2
207,1,13,27,2
208,2,13,21,2
209,3,13,13,2
210,1,14,29,2
211,2,14,22,2
212,3,14,15,2
213,1,15,16,2
214,2,15,1,2
215,3,15,24,2
216,1,16,28,2
217,2,16,18,2
218,3,16,3,2
219,1,17,7,2
220,2,17,23,2
221,3,17,26,2
222,1,18,12,2
223,2,18,2,2
224,3,18,19,2
225,1,19,4,2
226,2,19,8,2
227,3,19,17,2
228,1,20,9,2
229,2,20,25,2
230,3,20,14,2
